INFO 2025-02-02 21:30:06,429 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-02 21:30:06,668 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1737630441.9852662
DEBUG 2025-02-02 21:30:06,668 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\ipaddress.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,668 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1737630442.7290583
DEBUG 2025-02-02 21:30:06,669 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\_opcode_metadata.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,669 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1737630452.2571406
DEBUG 2025-02-02 21:30:06,670 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\email\mime\multipart.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,670 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\models\query.py first seen with mtime 1737630442.7130587
DEBUG 2025-02-02 21:30:06,671 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\keyword.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,671 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1737630442.7040582
DEBUG 2025-02-02 21:30:06,672 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1737630441.8130524
DEBUG 2025-02-02 21:30:06,672 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\json\scanner.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,673 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1737630442.725058
DEBUG 2025-02-02 21:30:06,673 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1737630440.72311
DEBUG 2025-02-02 21:30:06,673 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\token.py first seen with mtime 1733255850.0
DEBUG 2025-02-02 21:30:06,674 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1737630442.805906
DEBUG 2025-02-02 21:30:06,674 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1737630441.8150494
DEBUG 2025-02-02 21:30:06,674 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\postgres\search.py first seen with mtime 1737630442.279239
DEBUG 2025-02-02 21:30:06,675 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\wsgiref\simple_server.py first seen with mtime 1733255850.0
DEBUG 2025-02-02 21:30:06,675 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1737630442.7210577
DEBUG 2025-02-02 21:30:06,676 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\asyncio\base_tasks.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,676 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\http\cookie.py first seen with mtime 1737630442.7672906
DEBUG 2025-02-02 21:30:06,676 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1737630442.7280595
DEBUG 2025-02-02 21:30:06,677 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1737630441.3699431
DEBUG 2025-02-02 21:30:06,677 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\_base.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,678 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1737630442.6529562
DEBUG 2025-02-02 21:30:06,678 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\zoneinfo\__init__.py first seen with mtime 1733255850.0
DEBUG 2025-02-02 21:30:06,678 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\schemas\__init__.py first seen with mtime 1737630452.3054411
